id,name,node_type,birth_year,birth_place,in_degree,out_degree,betweenness,pagerank,eigenvector
paul_valery,Ambroise Valéry,cited,1871.0,Francia,1,0,0.0,0.003429,0.0
henry_james,Henry James,cited,1843.0,Estados Unidos,1,0,0.0,0.003429,0.0
witold_gombrowicz,Witold Gombrowicz,cited,1904.0,Polonia (Imperio Ruso),2,0,0.0,0.003429,0.088524
miguel_unamuno,Miguel de Unamuno,cited,1864.0,"Bilbao, España",2,0,0.0,0.003427,0.088524
dante_alighieri,Dante Alighieri,cited,1265.0,República de Florencia (actual Italia),2,0,0.0,0.003425,0.044262
enrique_santos_discepolo,Enrique Santos Discépolo,cited,1901.0,"Buenos Aires, Argentina",2,0,0.0,0.003425,0.088524
martin_heidegger,Martin Heidegger,author,1889.0,Imperio alemán (actual Alemania),2,7,0.00021,0.003422,0.088524
nicolas_condorcet,Nicolas Condorcet,cited,1743.0,Francia,1,0,0.0,0.003418,0.044262
samuel_beckett,Samuel Beckett,cited,1906.0,Irlanda,2,0,0.0,0.003416,0.044262
zaratustra,Zaratustra,cited,-628.0,Imperio Medo (actual Irán),1,0,0.0,0.003415,0.062596
ludwig_von_ficker,Ludwig von Ficker,cited,1880.0,"Múnich, Alemania",1,0,0.0,0.003415,0.062596
oscar_masotta,Óscar Masotta,cited,1930.0,Argentina,1,0,0.0,0.003413,0.0
william_faulkner,William Faulkner,cited,1897.0,Estados Unidos,2,0,0.0,0.00341,0.088524
cesar_fernandez_moreno,César Fernández Moreno,cited,1919.0,"Buenos Aires, Argentina",1,0,0.0,0.003409,0.044262
goethe,Johann Goethe,cited,1749.0,Sacro Imperio Romano Germánico (actual Alemania),2,0,0.0,0.003406,0.119825
mercedes_rosas,Mercedes Rosas,cited,1810.0,"Buenos Aires, Argentina",1,0,0.0,0.003404,0.075563
lord_byron,George Gordon Byron,cited,1788.0,"Londres, Inglaterra",1,0,0.0,0.003404,0.075563
augusto_pinochet,Augusto Pinochet,cited,1915.0,"Valparaíso, Chile",1,0,0.0,0.003404,0.075563
paco_urondo,Francisco Urondo,cited,1930.0,"Santa Fe, Argentina",1,0,0.0,0.003404,0.075563
rodolfo_walsh,Rodolfo Walsh,cited,1927.0,"Lamarque, Argentina",1,0,0.0,0.003404,0.075563
estrabon,Estrabón,cited,-64.0,"Amasya, Reino del Ponto",1,0,0.0,0.003403,0.0
baudelaire,Charles Baudelaire,cited,1821.0,Francia,1,0,0.0,0.003403,0.0
arnold_hauser,Arnold Hauser,cited,1892.0,"Timișoara, Rumania",1,0,0.0,0.003403,0.0
aubrey_beardsley,Aubrey Beardsley,cited,1872.0,"Brighton, Inglaterra",1,0,0.0,0.003403,0.0
oscar_wilde,Oscar Wilde,cited,1854.0,"Dublín, Irlanda",1,0,0.0,0.003403,0.0
dante_gabriel_rossetti,Dante Gabriel Rossetti,cited,1828.0,"Londres, Inglaterra",1,0,0.0,0.003403,0.0
herodoto,Heródoto,cited,-484.0,"Halicarnaso, Turquía",1,0,0.0,0.003403,0.0
