id,name,birth_year,death_year,birth_place_raw,country,region,period,wikidata,lifespan
san_agustin,de Hipona Agustín,354.0,430.0,Imperio Romano (actual Argelia),Imperio Romano,Other/Unknown,Hellenistic/Roman,http://www.wikidata.org/entity/Q8018,76.0
san_pedro_persona,San Pedro,-1.0,67.0,Imperio Romano (Galilea),Imperio Romano,Other/Unknown,Hellenistic/Roman,http://www.wikidata.org/entity/Q33923,68.0
midas,Midas,,,Frigia (actual Turquía),Frigia,Other/Unknown,Unknown,http://www.wikidata.org/entity/Q308398,
san_francisco_asis,de Asís Francisco,1181.0,1226.0,Ducado de Spoleto (actual Italia),Italy,Western Europe,Medieval,http://www.wikidata.org/entity/Q676555,45.0
ptolomeo,I Ptolomeo,-367.0,-282.0,Reino de Macedonia (actual Grecia),Greece,Southern Europe / Classical,Classical Antiquity,http://www.wikidata.org/entity/Q168261,85.0
antioco,IV Antíoco,-215.0,-164.0,Imperio Seléucida (actual Italia),Italy,Western Europe,Hellenistic/Roman,http://www.wikidata.org/entity/Q3356,51.0
felipe_augusto,II Felipe,1165.0,1223.0,Francia,France,Western Europe,Medieval,http://www.wikidata.org/entity/Q34428,58.0
federico_barbarroja,I Federico,1122.0,1190.0,Ducado de Suabia (actual Alemania),Germany,Western Europe,Medieval,http://www.wikidata.org/entity/Q79789,68.0
san_lucas,San Lucas,,84.0,Imperio Romano (actual Turquía),Imperio Romano,Other/Unknown,Unknown,http://www.wikidata.org/entity/Q128538,
la_fontaine,Jean La Fontaine,1621.0,1695.0,Francia,France,Western Europe,Early Modern,http://www.wikidata.org/entity/Q49496,74.0
stendhal,Stendhal,1783.0,1842.0,Francia,France,Western Europe,Early Modern,http://www.wikidata.org/entity/Q502,59.0
melville,Herman Melville,1819.0,1891.0,Estados Unidos,United States,North America,Revolutionary Era,http://www.wikidata.org/entity/Q4985,72.0
cabrera_infante,Guillermo Cabrera Infante,1929.0,2005.0,Cuba,Cuba,Latin America,World Wars Era,http://www.wikidata.org/entity/Q302675,76.0
luis_chitarroni,Luis Chitarroni,1958.0,2023.0,Argentina,Argentina,Latin America,Contemporary,http://www.wikidata.org/entity/Q112121650,65.0
ken_russell,Ken Russell,1927.0,2011.0,Inglaterra,United Kingdom,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q55249,84.0
juan_goytisolo,Juan Goytisolo,1931.0,2017.0,España,Spain,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q353762,86.0
severo_sarduy,Severo Sarduy,1937.0,1993.0,Cuba,Cuba,Latin America,World Wars Era,http://www.wikidata.org/entity/Q528804,56.0
joseph_conrad,Joseph Conrad,1857.0,1924.0,Imperio Ruso (actual Ucrania),Imperio Ruso,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q82925,67.0
robert_montgomery,Robert Montgomery,1904.0,1981.0,Estados Unidos,United States,North America,Long 19th Century,http://www.wikidata.org/entity/Q366956,77.0
jose_donoso,José Donoso,1924.0,1996.0,Chile,Chile,Latin America,World Wars Era,http://www.wikidata.org/entity/Q439761,72.0
marcel_duchamp,Marcel Duchamp,1887.0,1968.0,Francia,France,Western Europe,Long 19th Century,http://www.wikidata.org/entity/Q5912,81.0
laurence_sterne,Laurence Sterne,1713.0,1768.0,Irlanda,Ireland,Western Europe,Early Modern,http://www.wikidata.org/entity/Q218960,55.0
jose_valverde,José Valverde,1926.0,1996.0,España,Spain,Western Europe,World Wars Era,http://www.wikidata.org/entity/Q1116470,70.0
vladimir_nabokov,Vladimir Nabokov,1899.0,1977.0,"San Petesburgo, Imperio Ruso","San Petesburgo, Imperio Ruso",Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q36591,78.0
alfred_korzybski,Alfred Korzybski,1879.0,1950.0,Polonia (Imperio Ruso),Poland,Eastern Europe,Long 19th Century,http://www.wikidata.org/entity/Q333402,71.0
jose_marti,José Martí,1853.0,1895.0,Capitanía General de Cuba (actual Cuba),Cuba,Latin America,Long 19th Century,http://www.wikidata.org/entity/Q103285,42.0
gunter_grass,Günter Grass,1927.0,2015.0,Ciudad Libre de Danzig (actual Polonia),Poland,Eastern Europe,World Wars Era,http://www.wikidata.org/entity/Q6538,88.0
miguel_saenz,Miguel Sáenz,1932.0,,Protectorado español de Marruecos,Protectorado español de Marruecos,Other/Unknown,World Wars Era,http://www.wikidata.org/entity/Q6015176,
esteban_echeverria,Esteban Echeverría,1805.0,1851.0,Virreinato del Río de la Plata,Virreinato del Río de la Plata,Other/Unknown,Revolutionary Era,http://www.wikidata.org/entity/Q188859,46.0
enrique_pezzoni,Enrique Pezzoni,1926.0,1989.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q10934058,63.0
henry_james,Henry James,1843.0,1916.0,Estados Unidos,United States,North America,Revolutionary Era,http://www.wikidata.org/entity/Q170509,73.0
sylvia_molloy,Sylvia Molloy,1938.0,2022.0,Argentina,Argentina,Latin America,World Wars Era,http://www.wikidata.org/entity/Q42904745,84.0
jose_joaquin_olmedo,José Olmedo,1780.0,1847.0,Virreinato de Nueva Granada (actual Ecuador),Virreinato de Nueva Granada,Other/Unknown,Early Modern,http://www.wikidata.org/entity/Q981503,67.0
jose_maria_heredia,José Heredia,1803.0,1839.0,Capitanía General de Cuba (actual Cuba),Cuba,Latin America,Revolutionary Era,http://www.wikidata.org/entity/Q609805,36.0
estrada_cabrera,Manuel Estrada Cabrera,1857.0,1924.0,Guatemala,Guatemala,Other/Unknown,Long 19th Century,http://www.wikidata.org/entity/Q879169,67.0
